ad_spend,monthly_pageviews,ad_format,ad_sales,shop_id,timestamp,app
19.3999996185,19402,facebook_carousel_ad,20.0400009155,9832,2017-05-01 08:12:59,app2
60.0,11344,facebook_carousel_ad,384.429992676,9535,2017-07-11 16:14:44,app1
15.0,36950,facebook_carousel_ad,124.620002747,2495,2017-08-24 21:29:03,app1
60.0,36780,facebook_carousel_ad,165.649993896,9535,2017-08-17 00:43:07,app2
45.0,34219,facebook_carousel_ad,81.8000030518,2047,2017-03-06 13:25:12,app1
15.6300001144,23770,facebook_carousel_ad,55.2200012207,9617,2017-11-08 08:49:54,app1
50.0,5105,facebook_carousel_ad,50.0,15495,2017-10-07 18:19:11,app1
87.2799987793,39110,facebook_carousel_ad,113.769996643,29475,2017-05-27 01:29:41,app1
30.0,74594,facebook_carousel_ad,8.01000022888,1655,2017-06-30 16:21:14,app2
13.9099998474,3136,facebook_carousel_ad,107.86000061,5647,2017-05-29 21:56:13,app2
61.1899986267,1889,facebook_carousel_ad,34.4700012207,8962,2017-12-18 22:50:34,app2
14.7299995422,277383,facebook_carousel_ad,359.649993896,28726,2017-04-25 09:19:53,app1
15.0,26811,facebook_carousel_ad,47.9799995422,23045,2017-11-07 17:44:01,app1
60.0,49816,facebook_carousel_ad,34.9900016785,8467,2017-08-16 22:05:40,app1
16.7000007629,3489,facebook_carousel_ad,47.9000015259,25023,2018-01-10 11:12:41,app1
15.0699996948,15078,facebook_carousel_ad,39.0299987793,3980,2017-10-17 14:09:14,app2
13.7299995422,467,facebook_carousel_ad,488.609985352,18059,2017-08-01 19:03:46,app1
60.0,10848,facebook_carousel_ad,208.949996948,1902,2017-10-23 17:50:06,app2
60.0,3695,facebook_carousel_ad,102.769996643,8318,2017-05-23 06:45:11,app1
61.5,11994,facebook_carousel_ad,625.780029297,30236,2017-03-03 10:02:46,app2
18.1200008392,299,facebook_carousel_ad,8.14000034332,25606,2018-01-19 02:06:40,app2
57.0699996948,15189,facebook_carousel_ad,639.75,2637,2017-11-22 23:44:53,app1
50.0,14480,facebook_carousel_ad,9.0,9588,2017-06-27 18:30:36,app2
249.539993286,162011,facebook_carousel_ad,1854.70996094,2846,2017-08-04 18:04:13,app2
989.099975586,57785,facebook_carousel_ad,841.960021973,6905,2017-10-07 18:41:02,app2
50.0,10731,facebook_carousel_ad,77.5,1135,2017-03-31 04:46:51,app2
2.20000004768,0,facebook_carousel_ad,20.9899997711,13240,2017-05-26 03:16:28,app2
207.279998779,21903,facebook_carousel_ad,7.19999980927,2248,2017-10-26 18:16:31,app1
11.1499996185,105582,facebook_carousel_ad,5.0,13768,2017-11-22 14:06:40,app2
60.6800003052,19667,facebook_carousel_ad,24.4099998474,14,2017-10-04 05:39:11,app2
13.1999998093,1124,facebook_carousel_ad,83.3799972534,20581,2017-09-07 23:25:46,app1
30.0,202337,facebook_carousel_ad,146.720001221,28651,2017-11-22 08:49:22,app1
136.0,9040,facebook_carousel_ad,30.0,1847,2017-07-24 18:20:55,app1
29.9500007629,171345,facebook_carousel_ad,2440.25,233,2017-07-20 10:59:24,app2
